cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.3,0.6,10,93.87423935091277,caltech101,1
True,0.3,0.6,20,93.50912778904666,caltech101,2
True,0.3,0.6,30,93.91480730223124,caltech101,3
True,0.3,0.7,10,93.38742393509128,caltech101,4
True,0.3,0.7,20,93.4685598377282,caltech101,5
True,0.3,0.7,30,93.95537525354969,caltech101,6
True,0.3,0.8,10,93.91480730223124,caltech101,7
True,0.3,0.8,20,92.73833671399595,caltech101,8
True,0.3,0.8,30,93.2657200811359,caltech101,9
True,0.3,0.9,10,93.22515212981745,caltech101,10
True,0.3,0.9,20,92.53549695740365,caltech101,11
True,0.3,0.9,30,92.94117647058823,caltech101,12
True,0.5,0.6,10,93.87423935091277,caltech101,13
True,0.5,0.6,20,94.07707910750507,caltech101,14
True,0.5,0.6,30,94.07707910750507,caltech101,15
True,0.5,0.7,10,94.27991886409737,caltech101,16
True,0.5,0.7,20,94.40162271805274,caltech101,17
True,0.5,0.7,30,94.0365111561866,caltech101,18
True,0.5,0.8,10,94.07707910750507,caltech101,19
True,0.5,0.8,20,93.67139959432049,caltech101,20
True,0.5,0.8,30,93.63083164300203,caltech101,21
True,0.5,0.9,10,93.95537525354969,caltech101,22
True,0.5,0.9,20,93.95537525354969,caltech101,23
True,0.5,0.9,30,93.4685598377282,caltech101,24
True,0.7,0.6,10,93.91480730223124,caltech101,25
True,0.7,0.6,20,94.0365111561866,caltech101,26
True,0.7,0.6,30,94.2393509127789,caltech101,27
True,0.7,0.7,10,93.83367139959432,caltech101,28
True,0.7,0.7,20,94.07707910750507,caltech101,29
True,0.7,0.7,30,94.19878296146045,caltech101,30
True,0.7,0.8,10,93.91480730223124,caltech101,31
True,0.7,0.8,20,94.15821501014199,caltech101,32
True,0.7,0.8,30,93.83367139959432,caltech101,33
True,0.7,0.9,10,94.0365111561866,caltech101,34
True,0.7,0.9,20,93.95537525354969,caltech101,35
True,0.7,0.9,30,94.15821501014199,caltech101,36
True,0.8,0.6,10,94.0365111561866,caltech101,37
True,0.8,0.6,20,93.83367139959432,caltech101,38
True,0.8,0.6,30,93.99594320486815,caltech101,39
True,0.8,0.7,10,94.19878296146045,caltech101,40
True,0.8,0.7,20,94.27991886409737,caltech101,41
True,0.8,0.7,30,93.99594320486815,caltech101,42
True,0.8,0.8,10,94.32048681541582,caltech101,43
True,0.8,0.8,20,94.32048681541582,caltech101,44
True,0.8,0.8,30,93.83367139959432,caltech101,45
True,0.8,0.9,10,94.0365111561866,caltech101,46
True,0.8,0.9,20,94.0365111561866,caltech101,47
True,0.8,0.9,30,94.0365111561866,caltech101,48
True,0.9,0.6,10,93.95537525354969,caltech101,49
True,0.9,0.6,20,93.83367139959432,caltech101,50
True,0.9,0.6,30,93.83367139959432,caltech101,51
True,0.9,0.7,10,94.11764705882354,caltech101,52
True,0.9,0.7,20,93.83367139959432,caltech101,53
True,0.9,0.7,30,93.91480730223124,caltech101,54
True,0.9,0.8,10,93.59026369168357,caltech101,55
True,0.9,0.8,20,93.42799188640974,caltech101,56
True,0.9,0.8,30,93.83367139959432,caltech101,57
True,0.9,0.9,10,93.67139959432049,caltech101,58
True,0.9,0.9,20,93.50912778904666,caltech101,59
True,0.9,0.9,30,93.4685598377282,caltech101,60
