cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.8,0.6,20,24.902490249024904,fgvc,38
True,0.7,0.9,20,24.722472247224722,fgvc,35
True,0.7,0.6,10,24.482448244824482,fgvc,25
True,0.7,0.8,20,24.422442244224424,fgvc,32
True,0.9,0.9,20,24.422442244224424,fgvc,59
True,0.9,0.9,10,24.422442244224424,fgvc,58
True,0.9,0.6,10,24.362436243624362,fgvc,49
True,0.9,0.6,20,24.272427242724273,fgvc,50
True,0.9,0.8,30,24.272427242724273,fgvc,57
True,0.8,0.7,10,24.21242124212421,fgvc,40
True,0.9,0.6,30,24.182418241824184,fgvc,51
True,0.9,0.7,10,24.152415241524153,fgvc,52
True,0.9,0.8,20,24.062406240624064,fgvc,56
True,0.8,0.8,10,24.062406240624064,fgvc,43
True,0.8,0.6,10,24.032403240324033,fgvc,37
True,0.7,0.7,10,24.032403240324033,fgvc,28
True,0.7,0.8,30,24.002400240024002,fgvc,33
True,0.7,0.6,20,23.97239723972397,fgvc,26
True,0.9,0.7,20,23.942394239423944,fgvc,53
True,0.9,0.8,10,23.942394239423944,fgvc,55
True,0.8,0.8,30,23.912391239123913,fgvc,45
True,0.7,0.7,30,23.912391239123913,fgvc,30
True,0.8,0.7,20,23.882388238823882,fgvc,41
True,0.7,0.8,10,23.85238523852385,fgvc,31
True,0.8,0.7,30,23.85238523852385,fgvc,42
True,0.8,0.8,20,23.85238523852385,fgvc,44
True,0.9,0.7,30,23.822382238223824,fgvc,54
True,0.7,0.9,10,23.792379237923793,fgvc,34
True,0.8,0.9,10,23.792379237923793,fgvc,46
True,0.8,0.6,30,23.73237323732373,fgvc,39
True,0.9,0.9,30,23.49234923492349,fgvc,60
True,0.7,0.6,30,23.462346234623464,fgvc,27
True,0.5,0.6,10,23.462346234623464,fgvc,13
True,0.5,0.6,20,23.342334233423344,fgvc,14
True,0.5,0.9,10,23.342334233423344,fgvc,22
True,0.8,0.9,30,23.312331233123313,fgvc,48
True,0.8,0.9,20,23.282328232823282,fgvc,47
True,0.5,0.8,10,23.102310231023104,fgvc,19
True,0.5,0.9,20,23.102310231023104,fgvc,23
True,0.5,0.7,10,22.922292229222922,fgvc,16
True,0.3,0.9,10,22.862286228622864,fgvc,10
True,0.5,0.8,30,22.742274227422744,fgvc,21
True,0.7,0.7,20,22.682268226822682,fgvc,29
True,0.5,0.7,20,22.65226522652265,fgvc,17
True,0.3,0.8,10,22.592259225922593,fgvc,7
True,0.7,0.9,30,22.472247224722473,fgvc,36
True,0.3,0.7,10,22.442244224422442,fgvc,4
True,0.5,0.6,30,22.41224122412241,fgvc,15
True,0.5,0.8,20,22.262226222622264,fgvc,20
True,0.5,0.7,30,22.232223222322233,fgvc,18
True,0.5,0.9,30,22.232223222322233,fgvc,24
True,0.3,0.9,20,22.202220222022202,fgvc,11
True,0.3,0.8,20,21.902190219021904,fgvc,8
True,0.3,0.7,20,21.81218121812181,fgvc,5
True,0.3,0.9,30,21.81218121812181,fgvc,12
True,0.3,0.6,30,21.752175217521753,fgvc,3
True,0.3,0.6,20,21.722172217221722,fgvc,2
True,0.3,0.8,30,21.662166216621664,fgvc,9
True,0.3,0.7,30,21.602160216021602,fgvc,6
True,0.3,0.6,10,21.33213321332133,fgvc,1
