cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.3,0.6,10,88.63450531479967,oxford_pets,1
True,0.3,0.6,20,89.07059144180975,oxford_pets,2
True,0.3,0.6,30,89.20686835650041,oxford_pets,3
True,0.3,0.7,10,87.81684382665577,oxford_pets,4
True,0.3,0.7,20,88.44371763423275,oxford_pets,5
True,0.3,0.7,30,87.5715453802126,oxford_pets,6
True,0.3,0.8,10,86.89016080675934,oxford_pets,7
True,0.3,0.8,20,86.50858544562551,oxford_pets,8
True,0.3,0.8,30,86.04524393567729,oxford_pets,9
True,0.3,0.9,10,84.30089942763696,oxford_pets,10
True,0.3,0.9,20,84.08285636413191,oxford_pets,11
True,0.3,0.9,30,83.72853638593622,oxford_pets,12
True,0.5,0.6,10,89.5611883346961,oxford_pets,13
True,0.5,0.6,20,88.90705914418098,oxford_pets,14
True,0.5,0.6,30,89.86099754701553,oxford_pets,15
True,0.5,0.7,10,88.19841918778958,oxford_pets,16
True,0.5,0.7,20,88.06214227309894,oxford_pets,17
True,0.5,0.7,30,88.36195148541837,oxford_pets,18
True,0.5,0.8,10,87.29899155083129,oxford_pets,19
True,0.5,0.8,20,88.63450531479967,oxford_pets,20
True,0.5,0.8,30,87.2172254020169,oxford_pets,21
True,0.5,0.9,10,85.4183701281003,oxford_pets,22
True,0.5,0.9,20,86.15426546742982,oxford_pets,23
True,0.5,0.9,30,85.6909239574816,oxford_pets,24
True,0.7,0.6,10,88.22567457072772,oxford_pets,25
True,0.7,0.6,20,88.77078222949032,oxford_pets,26
True,0.7,0.6,30,88.47097301717089,oxford_pets,27
True,0.7,0.7,10,87.4897792313982,oxford_pets,28
True,0.7,0.7,20,88.06214227309894,oxford_pets,29
True,0.7,0.7,30,87.08094848732625,oxford_pets,30
True,0.7,0.8,10,87.4897792313982,oxford_pets,31
True,0.7,0.8,20,87.51703461433632,oxford_pets,32
True,0.7,0.8,30,87.38075769964568,oxford_pets,33
True,0.7,0.9,10,86.42681929681112,oxford_pets,34
True,0.7,0.9,20,86.97192695557372,oxford_pets,35
True,0.7,0.9,30,86.59035159443991,oxford_pets,36
True,0.8,0.6,10,88.30744071954211,oxford_pets,37
True,0.8,0.6,20,88.33469610248024,oxford_pets,38
True,0.8,0.6,30,88.47097301717089,oxford_pets,39
True,0.8,0.7,10,87.5715453802126,oxford_pets,40
True,0.8,0.7,20,88.00763150722268,oxford_pets,41
True,0.8,0.7,30,87.92586535840829,oxford_pets,42
True,0.8,0.8,10,87.10820387026438,oxford_pets,43
True,0.8,0.8,20,86.80839465794494,oxford_pets,44
True,0.8,0.8,30,87.27173616789315,oxford_pets,45
True,0.8,0.9,10,86.67211774325429,oxford_pets,46
True,0.8,0.9,20,86.53584082856364,oxford_pets,47
True,0.8,0.9,30,86.67211774325429,oxford_pets,48
True,0.9,0.6,10,88.41646225129463,oxford_pets,49
True,0.9,0.6,20,88.9343145271191,oxford_pets,50
True,0.9,0.6,30,88.7435268465522,oxford_pets,51
True,0.9,0.7,10,87.7623330607795,oxford_pets,52
True,0.9,0.7,20,87.7623330607795,oxford_pets,53
True,0.9,0.7,30,87.81684382665577,oxford_pets,54
True,0.9,0.8,10,87.35350231670755,oxford_pets,55
True,0.9,0.8,20,87.5715453802126,oxford_pets,56
True,0.9,0.8,30,87.24448078495503,oxford_pets,57
True,0.9,0.9,10,86.8629054238212,oxford_pets,58
True,0.9,0.9,20,86.48133006268738,oxford_pets,59
True,0.9,0.9,30,87.08094848732625,oxford_pets,60
