cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.8,0.6,30,67.02267002518892,sun397,39
True,0.8,0.6,20,66.99748110831234,sun397,38
True,0.7,0.6,30,66.9823677581864,sun397,27
True,0.7,0.6,20,66.90176322418137,sun397,26
True,0.8,0.7,20,66.82619647355163,sun397,41
True,0.7,0.6,10,66.79596977329975,sun397,25
True,0.8,0.6,10,66.73047858942066,sun397,37
True,0.7,0.7,20,66.72544080604534,sun397,29
True,0.7,0.7,10,66.59949622166246,sun397,28
True,0.8,0.7,10,66.56423173803526,sun397,40
True,0.8,0.8,20,66.52392947103274,sun397,44
True,0.9,0.6,20,66.52392947103274,sun397,50
True,0.7,0.7,30,66.48866498740554,sun397,30
True,0.9,0.7,10,66.41813602015114,sun397,52
True,0.9,0.6,30,66.39798488664988,sun397,51
True,0.8,0.7,30,66.36775818639798,sun397,42
True,0.8,0.9,10,66.33753148614609,sun397,46
True,0.8,0.8,10,66.33753148614609,sun397,43
True,0.9,0.7,20,66.30226700251889,sun397,53
True,0.9,0.6,10,66.29219143576826,sun397,49
True,0.8,0.8,30,66.23173803526448,sun397,45
True,0.5,0.6,20,66.1662468513854,sun397,14
True,0.7,0.8,20,66.11083123425692,sun397,32
True,0.9,0.8,20,66.11083123425692,sun397,56
True,0.7,0.8,30,66.10075566750629,sun397,33
True,0.9,0.9,10,66.10075566750629,sun397,58
True,0.9,0.7,30,66.08564231738035,sun397,54
True,0.8,0.9,20,65.98992443324937,sun397,47
True,0.7,0.9,20,65.95969773299748,sun397,35
True,0.8,0.9,30,65.94962216624685,sun397,48
True,0.9,0.8,10,65.94962216624685,sun397,55
True,0.9,0.9,30,65.92443324937028,sun397,60
True,0.7,0.8,10,65.91939546599497,sun397,31
True,0.7,0.9,30,65.80352644836272,sun397,36
True,0.9,0.9,20,65.80352644836272,sun397,59
True,0.9,0.8,30,65.79345088161209,sun397,57
True,0.5,0.6,30,65.78337531486146,sun397,15
True,0.5,0.6,10,65.68261964735517,sun397,13
True,0.7,0.9,10,65.63224181360202,sun397,34
True,0.5,0.7,30,65.47607052896726,sun397,18
True,0.5,0.7,10,65.17380352644837,sun397,16
True,0.5,0.7,20,64.99244332493703,sun397,17
True,0.3,0.6,10,64.90680100755668,sun397,1
True,0.3,0.6,30,64.77581863979849,sun397,3
True,0.3,0.6,20,64.75566750629723,sun397,2
True,0.5,0.8,30,64.6146095717884,sun397,21
True,0.5,0.8,20,64.4382871536524,sun397,20
True,0.5,0.9,20,64.41309823677582,sun397,23
True,0.5,0.8,10,64.39294710327457,sun397,19
True,0.5,0.9,30,64.23173803526448,sun397,24
True,0.3,0.7,10,64.1309823677582,sun397,4
True,0.5,0.9,10,63.87405541561713,sun397,22
True,0.3,0.7,20,63.87405541561713,sun397,5
True,0.3,0.7,30,63.59697732997481,sun397,6
True,0.3,0.8,10,62.75566750629723,sun397,7
True,0.3,0.8,30,62.68513853904282,sun397,9
True,0.3,0.8,20,62.52896725440806,sun397,8
True,0.3,0.9,30,61.9647355163728,sun397,12
True,0.3,0.9,20,61.71788413098237,sun397,11
True,0.3,0.9,10,61.22921914357683,sun397,10
