cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.8,0.8,30,72.64076130055511,ucf101,45
True,0.8,0.6,20,72.21781654771345,ucf101,38
True,0.5,0.6,10,72.13851440655564,ucf101,13
True,0.8,0.7,30,72.11208035950304,ucf101,42
True,0.7,0.7,30,72.08564631245044,ucf101,30
True,0.5,0.7,30,72.05921226539783,ucf101,18
True,0.8,0.7,10,72.00634417129262,ucf101,40
True,0.7,0.7,20,72.00634417129262,ucf101,29
True,0.8,0.9,20,71.95347607718742,ucf101,47
True,0.8,0.8,10,71.92704203013481,ucf101,43
True,0.8,0.7,20,71.92704203013481,ucf101,41
True,0.7,0.9,30,71.8741739360296,ucf101,36
True,0.7,0.7,10,71.847739888977,ucf101,28
True,0.5,0.9,30,71.847739888977,ucf101,24
True,0.7,0.8,30,71.7948717948718,ucf101,33
True,0.7,0.8,20,71.7948717948718,ucf101,32
True,0.7,0.8,10,71.76843774781919,ucf101,31
True,0.8,0.6,10,71.76843774781919,ucf101,37
True,0.7,0.6,20,71.76843774781919,ucf101,26
True,0.5,0.7,10,71.71556965371398,ucf101,16
True,0.5,0.6,30,71.68913560666138,ucf101,15
True,0.7,0.9,20,71.66270155960878,ucf101,35
True,0.7,0.6,10,71.66270155960878,ucf101,25
True,0.7,0.9,10,71.66270155960878,ucf101,34
True,0.8,0.6,30,71.58339941845097,ucf101,39
True,0.8,0.9,10,71.55696537139836,ucf101,46
True,0.3,0.6,30,71.53053132434576,ucf101,3
True,0.8,0.8,20,71.47766323024055,ucf101,44
True,0.5,0.8,30,71.31905894792493,ucf101,21
True,0.8,0.9,30,71.21332275971452,ucf101,48
True,0.5,0.7,20,71.18688871266191,ucf101,17
True,0.7,0.6,30,71.0547184773989,ucf101,27
True,0.5,0.6,20,70.89611419508327,ucf101,14
True,0.3,0.7,10,70.79037800687286,ucf101,4
True,0.5,0.9,10,70.76394395982025,ucf101,22
True,0.9,0.8,20,70.73750991276765,ucf101,56
True,0.9,0.6,20,70.55247158339942,ucf101,50
True,0.9,0.8,30,70.49960348929422,ucf101,57
True,0.5,0.8,10,70.44673539518901,ucf101,19
True,0.9,0.7,30,70.4203013481364,ucf101,54
True,0.5,0.8,20,70.4203013481364,ucf101,20
True,0.9,0.7,10,70.31456515992599,ucf101,52
True,0.9,0.9,10,70.23526301876818,ucf101,58
True,0.3,0.7,20,70.23526301876818,ucf101,5
True,0.9,0.8,10,70.18239492466297,ucf101,55
True,0.3,0.9,20,70.15596087761037,ucf101,11
True,0.9,0.7,20,70.15596087761037,ucf101,53
True,0.9,0.6,10,70.12952683055777,ucf101,49
True,0.3,0.8,30,70.07665873645256,ucf101,9
True,0.9,0.9,20,70.07665873645256,ucf101,59
True,0.3,0.6,10,70.02379064234735,ucf101,1
True,0.3,0.7,30,69.91805445413692,ucf101,6
True,0.5,0.9,20,69.83875231297911,ucf101,23
True,0.9,0.6,30,69.7594501718213,ucf101,51
True,0.3,0.9,10,69.68014803066349,ucf101,10
True,0.9,0.9,30,69.65371398361088,ucf101,60
True,0.3,0.6,20,69.28363732487443,ucf101,2
True,0.3,0.8,10,69.25720327782183,ucf101,7
True,0.3,0.9,30,68.75495638382236,ucf101,12
True,0.3,0.8,20,68.72852233676976,ucf101,8
