cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
False,0.8,0.7,30,46.63120567375886,dtd,42
False,0.5,0.8,30,46.572104018912526,dtd,21
False,0.9,0.8,10,46.513002364066196,dtd,55
False,0.8,0.9,10,46.513002364066196,dtd,46
False,0.7,0.9,20,46.513002364066196,dtd,35
False,0.9,0.6,10,46.45390070921986,dtd,49
False,0.8,0.6,10,46.45390070921986,dtd,37
False,0.5,0.9,30,46.39479905437352,dtd,24
False,0.5,0.9,10,46.39479905437352,dtd,22
False,0.8,0.9,20,46.335697399527184,dtd,47
False,0.8,0.8,30,46.335697399527184,dtd,45
False,0.7,0.9,30,46.335697399527184,dtd,36
False,0.7,0.9,10,46.335697399527184,dtd,34
False,0.3,0.6,10,46.276595744680854,dtd,1
False,0.9,0.7,10,46.21749408983452,dtd,52
False,0.7,0.7,30,46.21749408983452,dtd,30
False,0.9,0.9,30,46.21749408983452,dtd,60
False,0.5,0.6,20,46.21749408983452,dtd,14
False,0.3,0.7,20,46.21749408983452,dtd,5
False,0.7,0.6,10,46.15839243498818,dtd,25
False,0.3,0.9,30,46.15839243498818,dtd,12
False,0.3,0.9,20,46.09929078014184,dtd,11
False,0.7,0.8,10,46.09929078014184,dtd,31
False,0.3,0.9,10,46.040189125295505,dtd,10
False,0.7,0.6,30,46.040189125295505,dtd,27
False,0.5,0.7,10,46.040189125295505,dtd,16
False,0.9,0.7,30,45.981087470449175,dtd,54
False,0.3,0.8,30,45.981087470449175,dtd,9
False,0.9,0.8,30,45.981087470449175,dtd,57
False,0.8,0.8,10,45.92198581560284,dtd,43
False,0.3,0.7,10,45.92198581560284,dtd,4
False,0.7,0.7,20,45.8628841607565,dtd,29
False,0.9,0.8,20,45.8628841607565,dtd,56
False,0.9,0.6,30,45.8628841607565,dtd,51
False,0.3,0.8,10,45.8628841607565,dtd,7
False,0.3,0.6,30,45.80378250591016,dtd,3
False,0.8,0.8,20,45.80378250591016,dtd,44
False,0.8,0.6,20,45.744680851063826,dtd,38
False,0.8,0.9,30,45.744680851063826,dtd,48
False,0.9,0.6,20,45.685579196217496,dtd,50
False,0.3,0.7,30,45.685579196217496,dtd,6
False,0.5,0.7,30,45.685579196217496,dtd,18
False,0.5,0.6,30,45.685579196217496,dtd,15
False,0.7,0.8,20,45.685579196217496,dtd,32
False,0.9,0.9,10,45.62647754137116,dtd,58
False,0.5,0.7,20,45.62647754137116,dtd,17
False,0.5,0.9,20,45.62647754137116,dtd,23
False,0.8,0.7,20,45.56737588652482,dtd,41
False,0.9,0.7,20,45.508274231678485,dtd,53
False,0.3,0.6,20,45.508274231678485,dtd,2
False,0.7,0.6,20,45.449172576832154,dtd,26
False,0.5,0.6,10,45.449172576832154,dtd,13
False,0.8,0.7,10,45.39007092198582,dtd,40
False,0.3,0.8,20,45.39007092198582,dtd,8
False,0.9,0.9,20,45.39007092198582,dtd,59
False,0.7,0.7,10,45.33096926713948,dtd,28
False,0.5,0.8,20,45.33096926713948,dtd,20
False,0.8,0.6,30,45.33096926713948,dtd,39
False,0.7,0.8,30,45.27186761229314,dtd,33
False,0.5,0.8,10,45.27186761229314,dtd,19
